Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
45.18,-56.3,0.0,19.04,0.478,-0.326,0.5785844795706155,0.0,138.9000000000005,14.0,2.08,1.0999999999999999,92.12121212121205
44.67,-55.6,0.0,26.19,0.457,-0.42,0.6206842997853256,0.0,91.30000000000044,28.999999999999545,2.04,1.155,92.12121212121205
43.73,-53.4,0.0,28.17,0.43,-0.48,0.644437739428721,0.0,19.799999999999557,45.99999999999977,1.9900000000000002,1.16,92.12121212121205
43.08,-51.0,0.0,28.17,0.41,-0.477,0.6289904609769531,0.0,0.0,83.00000000000034,1.9300000000000002,1.085,92.12121212121205
42.13,-45.1,0.0,28.17,0.349,-0.473,0.5878179990439217,0.0,67.50000000000023,114.0000000000004,1.805,0.7949999999999999,92.12121212121205
41.19,-39.6,0.0,21.42,0.301,-0.386,0.48948646559430015,0.0,142.90000000000052,85.00000000000028,1.645,0.5549999999999999,92.12121212121205
40.76,-36.6,0.0,13.88,0.289,-0.296,0.4136870798079147,0.0,122.99999999999989,83.99999999999915,1.49,0.505,92.12121212121205
40.28,-31.2,0.0,9.12,0.236,-0.204,0.3119487137335238,0.0,87.19999999999939,101.99999999999943,1.205,0.33,92.12121212121205
40.02,-26.4,0.0,5.16,0.2,-0.164,0.2586426105652354,0.0,91.20000000000032,105.00000000000034,1.035,0.235,92.12121212121205
39.82,-20.7,0.0,0.0,0.141,-0.062,0.1540292180074936,0.0,51.600000000000186,50.00000000000017,0.7949999999999999,0.19,92.12121212121205
39.69,-21.4,0.0,0.0,0.142,-0.066,0.15658863304850706,0.0,0.0,25.000000000000085,0.5549999999999999,0.235,92.12121212121205
39.6,-23.2,0.0,0.0,0.145,-0.066,0.15931415505221122,0.0,0.0,36.99999999999983,0.405,0.34,92.12121212121205
39.47,-25.1,0.0,0.0,0.135,-0.065,0.14983324063771697,0.0,0.0,25.999999999999687,0.32,0.36,92.12121212121205
39.35,-25.8,0.0,0.0,0.138,-0.065,0.15254179755070413,0.0,0.0,6.0,0.35,0.355,92.12121212121205
39.26,-25.7,0.0,0.0,0.14,-0.066,0.15477725931156686,0.0,91.20000000000032,3.0,0.39,0.34,92.12121212121205
39.06,-25.5,0.0,9.12,0.137,-0.189,0.23343093196918016,0.0,206.30000000000072,11.000000000000028,0.42500000000000004,0.33,92.12121212121205
38.47,-24.6,0.0,20.63,0.125,-0.351,0.37259361239828037,0.0,115.10000000000144,12.000000000000057,0.44500000000000006,0.305,92.12121212121205
38.03,-24.3,0.0,20.63,0.123,-0.348,0.3690975480818045,0.0,0.0,2.999999999999943,0.45,0.295,92.12121212121205
37.29,-24.3,0.0,20.63,0.12,-0.351,0.37094608772704424,0.0,0.0,0.0,0.43500000000000005,0.285,92.12121212121205
36.85,-24.3,0.0,20.63,0.117,-0.351,0.3699864862397004,0.0,51.600000000000165,4.000000000000057,0.42500000000000004,0.275,92.12121212121205
36.15,-23.9,0.0,15.47,0.113,-0.281,0.3028696089078599,0.0,79.30000000000028,15.000000000000057,0.41500000000000004,0.245,91.33200133200125
35.64,-22.8,0.0,12.7,0.105,-0.237,0.2592180549267354,0.0,27.700000000000344,17.0,0.395,0.225,88.95251895251889
35.34,-22.2,0.0,12.7,0.099,-0.235,0.2550019607767752,0.0,1.4210854715202004e-14,22.00000000000003,0.38,0.215,86.5730365730365
34.88,-20.6,0.0,12.7,0.091,-0.233,0.2501399608219366,0.0,0.0,33.000000000000114,0.355,0.20500000000000002,84.19355419355414
34.56,-18.9,0.0,12.7,0.077,-0.231,0.24349537983296524,0.0,0.0,44.00000000000017,0.33,0.195,81.81407181407177
34.1,-16.2,0.0,12.7,0.059,-0.23,0.23744683615495912,0.0,0.0,60.0000000000002,0.29500000000000004,0.195,79.43458943458938
33.64,-12.9,0.0,12.7,0.04,-0.229,0.23246720198772128,0.0,1.4210854715202004e-14,65.99999999999966,0.25,0.19,77.05510705510702
33.32,-9.6,0.0,12.7,0.023,-0.229,0.23015212360523638,0.0,1.4210854715202004e-14,94.0,0.22,0.19,74.67562467562465
32.89,-3.5,0.0,12.7,-0.008,-0.228,0.2281403077055872,0.0,63.40000000000022,119.00000000000043,0.18,0.195,72.29614229614226
32.51,2.3,0.0,19.04,-0.04,-0.295,0.2976995129320839,0.0,150.7000000000005,145.0000000000005,0.15,0.27999999999999997,69.9166599166599
31.76,11.0,0.0,27.77,-0.074,-0.429,0.4353355028021491,0.0,99.20000000000039,143.0000000000005,0.14,0.4,68.18181818181819
30.91,16.6,0.0,28.96,-0.086,-0.45,0.45814408214010577,0.0,11.900000000000148,106.9999999999995,0.135,0.39,68.18181818181819
30.28,21.7,0.0,28.96,-0.103,-0.457,0.46846344574577004,0.0,0.0,100.9999999999994,0.14,0.43000000000000005,68.18181818181819
29.41,26.7,0.0,28.96,-0.112,-0.457,0.4705241757869621,0.0,107.10000000000039,95.00000000000031,0.19999999999999998,0.42000000000000004,68.18181818181819
28.55,31.2,0.0,18.25,-0.117,-0.352,0.37093530433217053,0.0,234.10000000000085,91.00000000000028,0.26,0.38,68.18181818181819
28.1,35.8,0.0,5.55,-0.127,-0.159,0.20349447166937976,0.0,182.50000000000065,77.00000000000028,0.275,0.37,68.18181818181819
27.96,38.9,0.0,0.0,-0.133,-0.05,0.1420880009008502,198.39999999999543,55.50000000000069,101.99999999999875,0.27999999999999997,0.38,68.18181818181819
27.91,46.0,19.84,0.0,-0.153,0.018,0.15405518491761322,388.7999999999978,0.0,153.99999999999937,0.28500000000000003,0.485,68.18181818181819
28.01,54.3,38.88,0.0,-0.176,0.076,0.19170811146114813,250.0000000000009,0.0,151.0000000000005,0.26,0.625,68.18181818181819
28.14,61.1,44.84,0.0,-0.199,0.104,0.2245373020235168,91.30000000000024,0.0,154.00000000000057,0.255,0.735,68.18181818181819
28.37,69.7,48.01,0.0,-0.235,0.117,0.2625147614897113,11.800000000000068,0.0,175.00000000000057,0.28,0.915,68.18181818181819
